id,name,title,specialty,clinic_id,languages,nationality,experience_years,availability_days,consultation_fee_aed,rating,qualifications,profile_url
dhcc-doc-001,Dr. Juan Gomez,Consultant Surgeon,Orthopedic Surgery,dhcc-habib,"English,Arabic",British,20,"Mon,Tue,Wed,Thu,Fri",450,4.8,"MD,FRCS (UK)",
dhcc-doc-002,Dr. Aisha Al Mansoori,Specialist Dentist,Cosmetic Dentistry,dhcc-emirates,"English,Arabic",Emirati,15,"Mon,Tue,Wed,Thu,Fri",350,4.7,"BDS,MSc (Prosthodontics)",
dhcc-doc-003,Dr. Miguel Fernandez,Consultant Cardiologist,Cardiology,dhcc-mediclinic,English,Spanish,18,"Mon,Tue,Wed,Thu,Fri,Sat",500,4.9,"MD,FACC",
dhcc-doc-004,Dr. Fatima Al Hashimi,Consultant Pediatrician,Pediatrics,dhcc-jalila,"English,Arabic,French",Emirati,12,"Sun,Mon,Tue,Wed,Thu",400,4.8,"MD,FRCPCH",
dhcc-doc-005,Dr. James Whitfield,Consultant Ophthalmologist,Ophthalmology,dhcc-moorfields,English,British,22,"Mon,Tue,Wed,Thu",480,4.9,"MD,FRCOphth",
dhcc-doc-006,Dr. Sarah Chen,Specialist Dermatologist,Dermatology,dhcc-mediclinic,"English,Mandarin",Chinese,10,"Mon,Wed,Fri",380,4.6,"MD,Board Certified Dermatology",
dhcc-doc-007,Dr. Omar Khalil,Consultant Neurologist,Neurology,dhcc-emirates,"English,Arabic",Lebanese,16,"Sun,Mon,Tue,Wed,Thu",520,4.8,"MD,FAAN",
dhcc-doc-008,Dr. Priya Sharma,Consultant Obstetrician,Obstetrics and Gynecology,dhcc-habib,"English,Hindi,Arabic",Indian,14,"Mon,Tue,Wed,Thu,Sat",420,4.7,"MD,FCPS",
dhcc-doc-009,Dr. Thomas Mueller,Consultant Orthopedic Surgeon,Sports Medicine,dhcc-mediclinic,"English,German",German,19,"Mon,Tue,Thu,Fri",460,4.8,"MD,Orthopedic Surgery Board",
dhcc-doc-010,Dr. Layla Hassan,Specialist Pulmonologist,Pulmonology,dhcc-habib,"English,Arabic",Egyptian,11,"Sun,Mon,Tue,Wed,Thu",390,4.6,"MD,MRCP",
dhcc-doc-011,Dr. Raj Patel,Consultant Oncologist,Oncology,dhcc-jalila,"English,Hindi",Indian,17,"Mon,Tue,Wed,Thu,Fri",550,4.9,"MD,FRCP",
dhcc-doc-012,Dr. Elena Popescu,Specialist Fertility Consultant,IVF and Fertility,dhcc-emirates,"English,Romanian,Arabic",Romanian,13,"Mon,Tue,Wed,Thu",600,4.8,"MD,MSc Reproductive Medicine",
dhcc-doc-013,Dr. Ahmed Farouk,Consultant ENT Surgeon,ENT,dhcc-mediclinic,"English,Arabic,French",Egyptian,15,"Sun,Mon,Tue,Wed,Thu",410,4.7,"MD,FRCS (ENT)",
dhcc-doc-014,Dr. Maria Santos,Consultant Psychiatrist,Psychiatry,dhcc-habib,"English,Portuguese,Arabic",Portuguese,12,"Mon,Tue,Wed,Thu,Fri",440,4.7,"MD,Board Certified Psychiatry",
dhcc-doc-015,Dr. Khalid Al Nuaimi,Specialist Radiologist,Interventional Radiology,dhcc-emirates,"English,Arabic",Emirati,9,"Mon,Tue,Wed,Thu,Fri",370,4.5,"MD,EBIR",
